iter	RMSE
0	0.06184930739
1	0.06140553038
2	0.06098793185
3	0.06059325657
4	0.06024284152
5	0.05991274358
6	0.05960807825
7	0.05932544528
8	0.05905164735
9	0.05880455346
10	0.05858275072
11	0.05838035356
12	0.05818115086
13	0.05799388132
14	0.05781102464
15	0.05762718749
16	0.0574335711
17	0.05726696428
18	0.05712199613
19	0.05696775743
20	0.05682180671
21	0.05666536154
22	0.05655005708
23	0.05643163137
24	0.05631755494
25	0.05621485756
26	0.05611587455
27	0.05600324452
28	0.05587334575
29	0.05577942775
30	0.05567671826
31	0.05558268381
32	0.05550474679
33	0.05541138626
34	0.05532246861
35	0.05524267248
36	0.05516569903
37	0.05509312039
38	0.055016561
39	0.0549547806
40	0.05488709793
41	0.05483132226
42	0.0547604908
43	0.05468423061
44	0.05459820424
45	0.05452851669
46	0.05447468019
47	0.05442301984
48	0.05436929666
49	0.0543244292
50	0.05425773156
51	0.05418750682
52	0.0541174609
53	0.05401392562
54	0.05396044774
55	0.05389858944
56	0.05385564838
57	0.05382132515
58	0.05377300648
59	0.05370954373
60	0.05364591131
61	0.05358844495
62	0.05353027056
63	0.05347878482
64	0.05342811868
65	0.05337863457
66	0.05331643581
67	0.053266464
68	0.05322314873
69	0.05318853588
70	0.05312022677
71	0.05307410058
72	0.05303277975
73	0.05299933663
74	0.05295140338
75	0.05291325627
76	0.05285414962
77	0.05281256352
78	0.05276964791
79	0.05273385676
80	0.05269028459
81	0.05263131613
82	0.05259865854
83	0.05257047968
84	0.0525230041
85	0.05248100031
86	0.05243001227
87	0.05238549169
88	0.05235530369
89	0.05230468997
90	0.05226473803
91	0.05221830967
92	0.0521796944
93	0.05214737324
94	0.0521170178
95	0.05206914648
96	0.05202567675
97	0.05198503118
98	0.05194642899
99	0.0519119661
100	0.05187225123
101	0.05183882474
102	0.0518066382
103	0.05176370555
104	0.05170282377
105	0.05166146878
106	0.05161768849
107	0.05158524771
108	0.05156076506
109	0.05153489522
110	0.05150861234
111	0.05145455986
112	0.0514257541
113	0.05139616925
114	0.05135219871
115	0.051319683
116	0.05128228619
117	0.05124172617
118	0.05119800745
119	0.05117276557
120	0.05114605307
121	0.05111451033
122	0.05106805402
123	0.05104439879
124	0.05101261836
125	0.05097267339
126	0.0509478692
127	0.05091674127
128	0.05088042043
129	0.05085987991
130	0.05082007209
131	0.05078315674
132	0.05074826598
133	0.05070976396
134	0.05065972511
135	0.05061398614
136	0.05055050749
137	0.050500795
138	0.05046874691
139	0.05045059004
140	0.05041906665
141	0.05039101472
142	0.05036077926
143	0.05033300189
144	0.05031556315
145	0.05028602236
146	0.05024732529
147	0.05020656164
148	0.05018689589
149	0.05015816994
150	0.05013157631
151	0.05010251787
152	0.05006184826
153	0.05001949625
154	0.04998447391
155	0.04993860146
156	0.04990813197
157	0.04988361382
158	0.04985376619
159	0.0498178711
160	0.04978713623
161	0.04975728326
162	0.04973383632
163	0.04971714934
164	0.04969690932
165	0.04966519551
166	0.04962536981
167	0.04960603783
168	0.04958658047
169	0.04954351801
170	0.04951087979
171	0.04947665517
172	0.04945247504
173	0.04942554215
174	0.04939729647
175	0.04936458026
176	0.04933659422
177	0.0493165379
178	0.04928484453
179	0.04924404298
180	0.04920936091
181	0.04918332979
182	0.04915291927
183	0.04913021836
184	0.04909850651
185	0.04907343344
186	0.04904748224
187	0.04901492314
188	0.04898552092
189	0.04895237873
190	0.04891691303
191	0.04889387295
192	0.04887030912
193	0.04884254046
194	0.04881982436
195	0.04880338572
196	0.04876920064
197	0.04873560055
198	0.04871033436
199	0.04867604128
