iter	Passed	Remaining
445	2113	255
446	2117	251
447	2121	246
448	2126	241
449	2129	236
450	2134	231
451	2138	227
452	2143	222
453	2147	217
454	2151	212
455	2156	208
456	2164	203
457	2168	198
458	2173	194
459	2177	189
460	2181	184
461	2186	179
462	2190	175
463	2194	170
464	2198	165
465	2201	160
466	2205	155
467	2209	151
468	2212	146
469	2216	141
470	2225	137
471	2230	132
472	2234	127
473	2238	122
474	2242	118
475	2246	113
476	2251	108
477	2256	103
478	2259	99
479	2263	94
480	2268	89
481	2272	84
482	2276	80
483	2279	75
484	2289	70
485	2293	66
486	2297	61
487	2302	56
488	2305	51
489	2309	47
490	2313	42
491	2316	37
492	2321	32
493	2325	28
494	2328	23
495	2332	18
496	2336	14
497	2340	9
498	2350	4
499	2356	0
