iter	RMSE
0	0.06203934829
1	0.06184042531
2	0.06165538643
3	0.06146898448
4	0.06128704496
5	0.06110083572
6	0.06093306185
7	0.06077027461
8	0.06060561327
9	0.06045117366
10	0.06030448057
11	0.06015146438
12	0.0600020618
13	0.05987376841
14	0.05974277077
15	0.05961055693
16	0.05948348535
17	0.05937412228
18	0.05925108331
19	0.0591388315
20	0.05902896252
21	0.0589178839
22	0.05880403127
23	0.0587018598
24	0.05860235235
25	0.05849616016
26	0.05839320023
27	0.05830400479
28	0.05821184846
29	0.05812131004
30	0.05803345419
31	0.05795147624
32	0.05786755112
33	0.05778172234
34	0.05770563906
35	0.05762970285
36	0.05755565839
37	0.05748098682
38	0.05741223338
39	0.05735000842
40	0.05728841789
41	0.05721764684
42	0.05715021298
43	0.0570872647
44	0.05702946002
45	0.05695996011
46	0.0568905393
47	0.05682209629
48	0.05675548306
49	0.05668042903
50	0.05662813901
51	0.05656746693
52	0.05650999975
53	0.05645334984
54	0.05639567129
55	0.05634042166
56	0.05629603471
57	0.05624991397
58	0.05619964125
59	0.05614690347
60	0.05610183198
61	0.05605472495
62	0.05600218392
63	0.05594889774
64	0.05590161196
65	0.05585217015
66	0.05581533674
67	0.05577135876
68	0.05572200539
69	0.05567561526
70	0.05564003158
71	0.05559739254
72	0.05555568792
73	0.05551970866
74	0.05546890367
75	0.05542374715
76	0.0553807615
77	0.05534204275
78	0.05530421222
79	0.05526694958
80	0.05522221443
81	0.05517720589
82	0.05514675195
83	0.05510876983
84	0.05506595313
85	0.05502914891
86	0.054993301
87	0.05496094607
88	0.05492379226
89	0.05487890246
90	0.05484760634
91	0.05480751889
92	0.05477588243
93	0.05474562446
94	0.05471943439
95	0.05468617418
96	0.05465313117
97	0.05461086256
98	0.05458508526
99	0.05455761708
100	0.05451620492
101	0.05447702329
102	0.0544404198
103	0.05441394092
104	0.05439047395
105	0.05435441199
106	0.05433253199
107	0.05429979322
108	0.05426463942
109	0.05423761401
110	0.05421265827
111	0.05418052205
112	0.05414762007
113	0.05412277739
114	0.05410129532
115	0.05406337618
116	0.05404417643
117	0.05401121324
